iupac_name,solvent,peak_absorption,peak_emission,quantum_yield,molar_absorptivity,comments,paper,TP/TN/FP/FN,Notes
"meso-(5-((4-(3,4-dimethoxybenzyl)ethynyl)phenyl)-4,4-difluoro-4-bora-3a,4a-diaza-s-indacene BODIPY-pyrrolo[3,4-b]pyridin-5-one",DMSO,505,530,null,null,"BODIPY-pyrrolo[3,4-b]pyridin-5-one conjugates with dual emission properties",pubmed_11527740,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.13010075.v1,,
null,null,null,null,null,null,null,pubmed_10473230,,
Fe(tpy)2(BF4)2,acetonitrile,null,null,null,null,Fe(tpy)2(BF4)2 shows typical photoinduced intersystem crossing dynamics with distinct absorption and emission features.,chemrxiv_10.26434_SLASH_chemrxiv-2024-7w8mr-v2,,
null,null,null,null,null,null,null,pubmed_9861442,,
AM5,null,356.94,371.57,0.03,null,Linear-conjugated pentacene-fused porphyrin with strong NIR absorption.,pubmed_9955193,,
null,null,null,null,null,null,null,pubmed_9240818,,
failed,failed,failed,failed,failed,failed,failed,pubmed_10015552,,
malvidin,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.9999548.v1,,
lycopoclavamine-A,null,951.36,756.5,0.25,null,null,pubmed_9609662,,
failed,failed,failed,failed,failed,failed,failed,pubmed_10906005,,
null,null,null,null,null,null,null,pubmed_10143843,,
null,null,null,null,null,null,null,pubmed_11173865,,
Chlorophyll a,50% Murashige–Skoog medium and deionized water,427.06,671,0.66,null,The formation of the 3F2-chlorophyll a complex at position 3 in the porphyrin ring affects both absorption and fluorescence spectra.,pubmed_11123691,,
null,null,null,null,null,null,null,pubmed_9947744,,
null,null,null,null,null,null,null,pubmed_9867608,,
null,null,null,null,null,null,null,pubmed_11643922,,
failed,failed,failed,failed,failed,failed,failed,pubmed_11488570,,
null,null,null,null,null,null,null,pubmed_10141166,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-1q4rz,,
null,null,null,null,null,null,null,pubmed_10924393,,
null,null,null,null,null,null,null,pubmed_10483679,,
porphyrin,water,405,550,0.5,Not specified,Porphyrins are excellent photosensitizers with strong absorption and efficient electron injection into TiO2 for photocatalysis.,pubmed_10059665,,
3-Phosphonorhodamine,"2,2,2-trifluoroethanol",546,551,null,null (wavelength dependent),High water solubility and improved stability compared to traditional rhodamines; esterification facilitates intracellular delivery with localization profiles that differ from 3-carboxyrhodamines.,pubmed_10599461,,
MuMYB96,null,null,null,null,null,MuMYB96 is a transcription factor involved in cuticular wax biosynthesis and drought stress tolerance. It regulates chromophore-related genes but lacks specific spectral data.,pubmed_9709484,,
null,null,null,null,null,null,null,pubmed_9358712,,
null,null,null,null,null,null,null,pubmed_11504423,,
compound 2,chloroform,null,null,null,null,Guanidine tautomers exhibit antiaromaticity relief upon protonation. ESIPT stabilizes CT states and affects fluorescence quenching.,pubmed_11791125,,
null,null,null,null,null,null,null,pubmed_11591719,,
"18-vinyl-3,3'-dihydroxybacteriopheophytin",null,660,455,null,null,"Highlighter is a synthetic light-gated gene expression system tailored for in planta function, repurposed from the cyanobacterial CcaS-CcaR system using the endogenously produced phytochrome PΦB chromophore.",pubmed_10513317,,
null,null,null,null,null,null,null,pubmed_10821326,,
null,null,null,null,null,null,null,pubmed_9344550,,
PEB20C,null,null,null,null,null,null,pubmed_11696437,,
failed,failed,failed,failed,failed,failed,failed,pubmed_11503488,,
null,null,null,null,null,null,null,pubmed_9319741,,
null,null,null,null,null,null,null,pubmed_9159094,,
hemoglobin,null,400.1,550.2,0.55,null,Hemoglobin is a chromophore involved in reflectance dermatoscopy.,pubmed_10890990,,
null,null,null,null,null,null,null,pubmed_10244454,,
resazurin,water,620,550,null,null,Resazurin ps4 is another dye with even further red-shifted properties.,chemrxiv_10.26434_SLASH_chemrxiv-2023-gq2h0,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-9jb6k-v2,,
null,null,null,null,null,null,null,pubmed_10673663,,
null,null,null,null,null,null,null,pubmed_11471206,,
null,null,null,null,null,null,null,pubmed_10220389,,
null,null,null,null,null,null,null,pubmed_10993273,,
null,null,null,null,null,null,null,pubmed_10293427,,
null,null,null,null,null,null,null,pubmed_10559926,,
failed,failed,failed,failed,failed,failed,failed,pubmed_10906251,,
null,null,null,null,null,null,null,pubmed_10135308,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-dx58w,,
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2021-nl537,,
failed,failed,failed,failed,failed,failed,failed,pubmed_10281048,,
null,null,null,null,null,null,null,pubmed_10290660,,
failed,failed,failed,failed,failed,failed,failed,pubmed_11348761,,
p-phenylene-based cyano-luminogen,CHCl3,371,null,null,null (absorption not explicitly provided),null,pubmed_9555562,,
null,null,null,null,null,null,null,pubmed_10608309,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.12522233.v1,,
null,null,null,null,null,null,null,pubmed_10684032,,
LSS-mOrange,null,760,1040,null,null,Two-photon excitation spectrum of LSS-mOrange measured in HEK-293T cells.,pubmed_9656010,,
Titanium(IV) oxide,null,350,null,null,1.2e4 (350 nm),null,pubmed_11085262,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.7985657.v1,,
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-gzvbj,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.7666316.v2,,
null,null,null,null,null,null,null,pubmed_9658207,,
null,null,null,null,null,null,null,pubmed_11728806,,
null,null,null,null,null,null,null,pubmed_10788561,,
null,null,null,null,null,null,null,pubmed_10826164,,
null,null,null,null,null,null,null,pubmed_10451665,,
"benzene-1,3,5-tricarboxamide",methylcyclohexane,222,222,null,null (wavelength not specified),"Benzene-1,3,5-tricarboxamide (BTA) and its methyl ester derivative are used in supramolecular polymerizations to study helical asymmetry and chiroptical properties.",pubmed_10326880,,
null,null,null,null,null,null,null,pubmed_11600328,,
"azo-N,N-DMT (1)",null,null,null,null,null,"Azo-N,N-DMT (1) is a photoswitchable compound with reported photophysical properties and binding characteristics to the 5-HT2AR. Its absorption and emission peaks, quantum yield, and molar absorptivity are not explicitly provided in the text.",chemrxiv_10.26434_SLASH_chemrxiv-2024-ljkf8-v2,,
null,null,null,null,null,null,null,pubmed_9696032,,
flavonoid,null,null,null,null,null,null,pubmed_9268760,,
null,null,null,null,null,null,null,pubmed_10049345,,
solvent,null,null,null,null,null,null,pubmed_11879902,,
null,null,null,null,null,null,null,pubmed_10740615,,
tetrapyridyl porphyrin,CH2Cl2/MeCN/MeNO2 or Me2CO/H2O,null,null,null,null,Pt(II)-coordinated tricomponent self-assemblies of tetrapyridyl porphyrin and dicarboxylate ligands form bow-tie complexes instead of prisms,chemrxiv_10.26434_SLASH_chemrxiv-2021-snlvq-v3,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-wq1tb-v2,,
null,null,null,null,null,null,null,pubmed_10487143,,
null,null,null,null,null,null,null,pubmed_10730883,,
null,null,null,null,null,null,null,pubmed_9233507,,
null,null,null,null,null,null,null,pubmed_10671323,,
IR-Dye800CW-Cetuximab,Phosphate-Buffered Saline (DPBS),774,798,null,270000 (774 nm),Conjugate of Cetuximab and IRDye800CW used for photodynamic therapy and fluorescence image-guided surgery with a high payload of 1:11.,pubmed_11216862,,
butadiene,gas phase,null,null,null,null,Conjugated diene commonly studied in organic chemistry.,chemrxiv_10.26434_SLASH_chemrxiv-2024-1vw8d,,
null,null,null,null,null,null,null,pubmed_11272219,,
ATX-4,dichloromethane,841,939,0.24,null,ATX-4 has absorption at 841 nm and emission at 939 nm in dichloromethane with a quantum yield of 0.24.,pubmed_11268488,,
reactive_dye_R1,null,null,null,null,null,null,pubmed_10674640,,
null,null,null,null,null,null,null,pubmed_11608628,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-sr8sl,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.8251568.v1,,
null,null,null,null,null,null,null,pubmed_11427831,,
Ni(pimp)₂,methanol,null,356.35,0,null (578.9 nm),The Ni(pimp)₂ complex shows a single transition 1A 1g→ 1A 2g for the distorted square planar geometry.,pubmed_10421135,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-6mctw,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-j935v-v2,,
formaldehyde,PBS buffer,405,488,null,null,MitoRFAP-2 is a mitochondrial-targeted ratiometric formaldehyde probe designed for activity-based sensing of FA in living cells.,pubmed_11134394,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-qnsmr,,
failed,failed,failed,failed,failed,failed,failed,pubmed_11550654,,
p-tert-butylcalix[4]arene appended with three DSB units,null,471,603,0.06,75000 M⁻¹cm⁻¹,Tris-substituted derivative with highest PCE due to optimal aggregation.,chemrxiv_10.26434_SLASH_chemrxiv-2024-lnbct,,
null,null,null,null,null,null,null,pubmed_10952353,,
null,null,null,null,null,null,null,pubmed_9849758,,
"2,4-di-tert-butylphenoxy",PGMEA,678,null,null,61660,Zinc phthalocyanine derivative with tert-butylphenoxy substituents at peripheral positions.,pubmed_11683594,,
null,null,null,null,null,null,null,pubmed_10763269,,
failed,failed,failed,failed,failed,failed,failed,pubmed_10181111,,
naphthalimide-phx-tempo,toluene,664.16,449.16,0.31,null,Phx-TEMPO demonstrates delayed fluorescence with a quantum yield of 4% in toluene solutions.,arxiv_2411.18112v1,,
Glycophorin A,null,null,488,null,null,null,pubmed_10760168,,
null,null,null,null,null,null,null,pubmed_9795547,,
null,null,null,null,null,null,null,pubmed_11187914,,
null,null,null,null,null,null,null,pubmed_10135966,,
null,null,null,null,null,null,null,pubmed_10399874,,
null,null,null,null,null,null,null,pubmed_9793937,,
null,null,null,null,null,null,null,pubmed_9330474,,
para-azaquinodimethane,"various including DMF, CHCl3, CH2Cl2, toluene, hexane and THF",408,515,0.48,"22,000 (408 nm), 32,000 (445 nm), 61,000 (464 nm)",synthesis using Knoevenagel condensation and characterization for optical and electronic properties,pubmed_10780065,,
hydrazone,null,280,null,0.85,null (UV range),Hydrazones exhibit trans-to-cis isomerization and are used in hydrogels and films for biomedical applications.,pubmed_10180172,,
hemithioindigo,null,450,600,0.25,null,Hemithioindigo chromophores enable photon-only driven rotation in molecular motors.,pubmed_10207102,,
argpyrimidine,null,null,390,null,null,null,pubmed_10740428,,
null,null,null,null,null,null,null,pubmed_11822206,,
Adenosine Triphosphate,null,null,null,0.93,null,"mTurquoise2-based FLIM biosensors utilize Adenosine Triphosphate as a sensing analyte; mTurquoise2 has a long fluorescence lifetime and high quantum yield (0.93), enabling sensitive and accurate detection.",pubmed_11705765,,
null,null,null,null,null,null,null,pubmed_10433936,,
no_chromophore,null,null,null,null,null,No chromophores were explicitly mentioned in the paper.,pubmed_11396725,,
mCardinal,null,760,1040,null,null,Two-photon excitation spectrum of mCardinal measured in HEK-293T cells.,pubmed_9656010,,
7b,null,899.85,449.47,0.78,null,DNA intercalator with high anticancer activity against MCF-7; forms six H-bonds improving DNA binding affinity.,pubmed_9154796,,
null,null,null,null,null,null,null,arxiv_1106.5259v1,,
coumarin-3-carboxylic acid derivative (U2),MeOH,287,null,0.4,"27,724 L/(mol·cm)",Coumarin derivative U2 exhibits strong absorption at 287 nm with a quantum yield of 0.4 and high molar absorptivity.,pubmed_10471130,,
null,null,null,null,null,null,null,pubmed_11513366,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2021-b3jfg,,
null,null,null,null,null,null,null,pubmed_10457815,,
PKH26,M199 with HEPES,null,null,null,null,PKH26 was used as a fluorescent chromophore to label MSC-derived exosomes for tracking and visualization in cardiac tissues.,pubmed_9181089,,
null,null,null,null,null,null,null,pubmed_9105421,,
Carotenoid-Porphyrin-C60 triad,Tetrahydrofuran (THF),null,null,null,null,Computational study using multistate reaction coordinate and harmonic models for charge and energy transfer dynamics in condensed-phase systems,pubmed_10601487,,
null,null,null,null,null,null,null,pubmed_10526799,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-z95xl,,
null,null,null,null,null,null,null,pubmed_11180167,,
sacituzumab govitecan,null,759.76,515.77,0.79,null,Sacituzumab govitecan targets TROP-2 and uses a topoisomerase I inhibitor.,pubmed_11677665,,
supernova-nuo-1 fusion protein,null,null,null,null,null (supernova fused to nuo-1 for ROS control),optogenetic tool generating ROS at mitochondrial complex I,pubmed_9064984,,
null,null,null,null,null,null,null,pubmed_11821137,,
null,null,null,null,null,null,null,pubmed_11439985,,
rhodamine,F127,770.82,335.8,null,null,Used in hybrid nanocrystals with Au for bioimaging applications.,pubmed_10408581,,
null,null,null,null,null,null,null,pubmed_9916503,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-8nlsb,,
null,null,null,null,null,null,null,pubmed_9667922,,
null,null,null,null,null,null,null,pubmed_11841687,,
BODIPY 2,H2O,450,480,0.7,1.8e4 (450 nm),Water-soluble via dicarboxylic acid from itaconic acid.,chemrxiv_10.26434_SLASH_chemrxiv-2023-8v4gb,,
null,null,null,null,null,null,null,pubmed_11783381,,
null,null,null,null,null,null,null,pubmed_10140977,,
cyanidin-3-(sinapoyl)(sinapoyl)-triglucoside-5-glucoside,deionised water,null,null,null,null (wavelength not specified),Anthocyanin derivative with sinapoyl dimerization and triglucoside substitution,pubmed_10525587,,
failed,failed,failed,failed,failed,failed,failed,pubmed_11869165,,
null,null,null,null,null,null,null,pubmed_11301626,,
roGFP2,null,null,null,null,null,Non-invasive redox sensor used to measure redox potentials in erythrocytes and parasitophorous vacuole.,pubmed_9673094,,
null,null,null,null,null,null,null,pubmed_9786115,,
null,null,null,null,null,null,null,pubmed_11304396,,
null,null,null,null,null,null,null,pubmed_9138547,,
3catPyCl2,acetonitrile,505,515,0.47,5x10^3 L/(mol·cm),Enhanced fluorescence in water due to reduced charge transfer.,pubmed_9315496,,
null,null,null,null,null,null,null,pubmed_9822017,,
null,null,null,null,null,null,null,pubmed_9941110,,
Styryl-azinium bicationic dye #6,ETN buffer,540,800,0.56,null,"High fluorescence quantum yield with far-red emission, ideal for DNA binding.",pubmed_9230006,,
null,null,null,null,null,null,null,pubmed_9389550,,
"3,7-diamino-2,8-dimethyl-5-phenylphenazinium chloride",Milli-Q water,241,527,0.01,null,Safranin O was embedded into carbon dots via a one-pot synthesis using citric acid and safranin O in an oil bath at 200°C for 15 minutes. The resulting red-emitting C-dots exhibited strong resistance to photobleaching.,pubmed_9315549,,
dimethylimidazolidinone,null,null,null,null,null,Experimental data for dimethylimidazolidinone provided in the ESI.,chemrxiv_10.26434_SLASH_chemrxiv-2023-wd261-v2,,
AM1,null,1012.56,290.94,0.9,null,Cross-conjugated pentacenequinone-fused porphyrin with unique absorption patterns.,pubmed_9955193,,
"2,9-dimethyl-1,10-phenanthroline copper(I) chromophore",acetonitrile,null,null,null,null,"A copper(I) donor-chromophore-acceptor triad composed of a heteroleptic 2,9-dimethyl-1,10-phenanthroline copper(I) chromophore bearing a 1,8-naphthalene monoimide (NMI) electron-accepting moiety and a triphenylamine electron-donating moiety. The system exhibits stepwise photoinduced charge separation upon excitation of the Cu(I) MLCT excited state with a CSS lifetime of 18 ns in acetonitrile.",chemrxiv_10.26434_SLASH_chemrxiv-2024-nqlfh,,
2H-chromen-2-one,water/MCN,500,null,0.19,3.4 × 10^4,Improvement in quantum yield due to cation stabilization by prenyl substituent,chemrxiv_10.26434_SLASH_chemrxiv-2023-hfmzf,,
null,null,null,null,null,null,null,pubmed_11606874,,
null,null,null,null,null,null,null,pubmed_10983815,,
failed,failed,failed,failed,failed,failed,failed,pubmed_9208006,,
N-[(6-bromo-7-hydroxycoumarin-4-yl)methoxy]methanesulfonamide,CD3CN with phosphate buffer,null,null,0.33,1.42 × 10⁴ (366 nm),Photoactive N-hydroxysulfonamides photocaged with the (6-bromo-7-hydroxycoumarin-4-yl)methyl chromophore were successfully synthesized and mechanisms of photodecomposition investigated.,pubmed_11356963,,
