iupac_name,pka_value,pka_type,functional_group,solvent,temperature,ionic_strength,method,uncertainty,additional_info,paper,"TP,TN,FP,FN",Human Notes,,
paeoniflorin,41.85,acid,carboxylic acid,null,309.62,null,2.75,null,"PAE supplementation improved estrous cycle and ovarian index in CDDP-induced DOR mice. PAE upregulated FSHR/cAMP/PKA/CREB signaling pathway in the ovaries of DOR mice, restoring the balance of serum hormones and improving E2 levels.",pubmed_10745843,,,,
Acetic acid,4.6,acid,carboxylic acid,water,313.15,null,spectroscopy,0.07,pKa values determined by ATR-FTIR and Raman spectroscopy,pubmed_10390803,,,,
dfob,19.34,siderophore,hexadentate compound,NaCl,837.76,ionic strength not provided,potentiometric titrations,2.06,no additional information provided,chemrxiv_10.26434_SLASH_chemrxiv.14706036.v1,,,,
p(NDI-T2 P75),33.36,null,null,null,528.67,null,null,2.04,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-r3pkd-v2,,,,
meropenem,91.35,pka_acid_meropenem,carboxylate_group,methylated_carbapenem_solution,274,ionic_strength_in_mol_per_liter,ammonium_bicarbonate_buffer_method,0.86,additional_information_about_measurement_procedure,chemrxiv_10.26434_SLASH_chemrxiv-2021-bv7tb-v2,,,,
meso-2-naphthol sulfonothioate,23.98,acid,naphthol sulfonothioate,"dichloromethane/methanol (1:9, v/v)",313.15,null,UV spectroscopy and DFT calculations to determine the photorelease quantum yield of thiodansyl groups from meso-2-naphthol sulfonothioates.,0.44,"The synthesis, photochemical properties, biological potential, and mechanism of photodeprotection were studied for a series of BODIPY derivatives substituted with a thiodansyl group.",pubmed_10510718,,,,
another_example_str,32.57,null,null,none,756.45,null,null,2.99,additional_info_text_here,chemrxiv_10.26434_SLASH_chemrxiv.7699952.v3,,,,
"2-chloro-4-ethylamino-6-isopropylamino-1,3,5-triazine",96,acid,phenol,deionized water,298.15,null,pseudo-first-order model,1,no information found,pubmed_10909853,,,,
bepotastine,67.42,acid,phenol,water,583.15,null,nonlinear mixed-effects modeling,0.51,The study aimed to propose an optimal dosing regimen for pediatric patients using population pharmacokinetic (popPK) and physiologically based pharmacokinetic (PBPK) models.,pubmed_10975960,,,,
"1,3,5-Triaza-7-phosphadamantane",9.1,acid,phosphorus acid group,water,286.04,null,single-crystal X-ray diffraction (SCXRD),0.004,high solubility in water,pubmed_11223513,,,,
null,7.32,base,amine group,THF,458,KCl (mM),UV-Vis spectrophotometry method at 10 nm intervals,0.1,pKa value obtained through UV absorption measurement,chemrxiv_10.26434_SLASH_chemrxiv.7538747.v1,,,,
SAMPL8-1,6.5,null,null,null,409.5,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2021-8gd90,,,,
"bis(8-hydroxyquinolinium) naphthalene-1,5-disulfonate tetrahydrate",4.67,acid,hydroxyl group,water,302.95,null,single crystal X-ray diffraction method,0.031,null,pubmed_11223680,,,,
FeTPP,32.86,acid,nitrous oxide reduction,THF,548.1,null,cyclic voltammetry,null,no information found,chemrxiv_10.26434_SLASH_chemrxiv-2023-k154v,,,,
4-Chloro-7Hd1,69.9,base,phenol,water,285.17,null,null,3.46,additional_info,pubmed_10976386,,,,
biosensors-14-00319,66.16,null,null,null,972.7,null,null,1.12,null,pubmed_11274550,,,,
ZAP_70_regulatory_motifs,9.18,null,null,null,989.33,null,null,3.06,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-bzkrq,,,,
Phenyllactic acid ionic liquids,15.44,acid,phenolic acid,distilled water,313.15,null,salt metathesis reaction,null,"confirmed formation and purity through spectroscopic, chromatographic, and thermal characterization techniques",pubmed_11100303,,,,
poly(potassium 3-sulfopropyl methacrylate),11.11,acid,sulfonate,water,293.15,null,RAFT-mediated aqueous emulsion polymerization-induced self-assembly,2,nanogels with pH-responsive carboxylic acid functional groups in their cores are of great interest as they are potentially suitable for drug/cargo delivery in the various tissues and cellular compartments in the body,pubmed_11044572,,,,
Kraft lignin,76,acid,phenol,distilled water,298.15,null,one-step carbonization and activation process using nitric acid as activator and urea for nitrogen doping,null,"material characterization including pHpzc, FTIR spectroscopy, XPS analysis; adsorption studies of CO2 and 2,4-D herbicide from aqueous solutions at various conditions such as temperature, pH;",chemrxiv_10.26434_SLASH_chemrxiv-2023-pg6pq,,,,
"cx43,nuclear translocation,subcellular trafficking,gene expression",16.69,null,null,null,894.97,null,4.25,null,Cx43 can form functional channels at the nuclear envelope and modulate gene expression in cardiac cells,pubmed_10645070,,,,
"Thioxanthone 10,10-Dioxides and Sulfone-Fluoresceins via Pd-Catalyzed Sulfonylative Homocoupling",81.5,acid,"thioxanthone 10,10-dioxide",ethanol,293.15,null,Pd-catalyzed sulfonylative homocoupling,null,"prepared through nucleophilic addition of aryllithium or arylmagnesium reagents to the keto group of appropriately substituted thioxanthone 10,10-dioxide",pubmed_10845149,,,,
miRMCUZhu et al.,0.98,null,null,null,315.61,null,null,4.22,null,pubmed_10399525,,,,
cells-13-01164-t001,5.5,cells-13-01164-t001,cells-13-01164-t001,cells-13-01164-t001,295.81,cells-13-01164-t001,cells-13-01164-t001,1.6,cells-13-01164-t001,pubmed_11240615,,,,
mecrebpy(H)2,79.02,null,null,null,68.04,null,null,2.86,null,chemrxiv_10.26434_SLASH_chemrxiv.9120635.v2,,,,
another_example_name,32.45,fourth_pka_value_type,specific_functional_group_specification,water_as_solvent,678.9,ionic_strength_provided_here,experimental_method_description_used_to_measure_the_pKa_values,0.15,additional_information_about_measurement_and_compound_properties,chemrxiv_10.26434_SLASH_chemrxiv-2022-j1ztl,,,,
mefloquine,8.6,acid,quinine moiety,water at room temperature,null,null,null,null,pKa range of ion-exchange resins with carboxylic acid groups is between 4.0 and 6.0,pubmed_11280060,,,,
compound_name_here,18.2,acid_pKa_type,functional_group_acid_here,solvent_used_here,374,ionic_strength_solution_here,method_measurement_here,0.59,null,chemrxiv_10.26434_SLASH_chemrxiv-2021-gppx1-v2,,,,
another_example_name,23.35,null,specific_functional_group_specified,water_solution_used_at_temperature_of_kelvin_provided_or_celsius_if_stated_and_converted_to_kelvin,461.89,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-8tqvn,,,,
formic_acid,5.4,acid,OH_group,water,300,null,MP2/aug-cc-pVDZ,1.32,The pKa of fluoroformic acid was estimated to be around 0.9 based on the linear correlation between pKa and electric field.,chemrxiv_10.26434_SLASH_chemrxiv-2022-56cd8,,,,
indolylglyoxylamide,16.58,null,null,null,744.7,null,null,3.19,null,pubmed_10386336,,,,
Brassica oleracea,53.8,acid,glucosinolates,deionized water,null,null,HPLC-PDA and GC/MS system,null,profiling of organosulphur compounds,pubmed_11132833,,,,
compound_b_name_1,93.57,acid,carboxylic acid compound B,"ethanol solvent, 60% v/v water solution",845,null,electrode potential method with cyclic voltammetry technique at pH=1-7 range,null,data obtained from a comparative study on different solvents effect,chemrxiv_10.26434_SLASH_chemrxiv-2021-1fzzt,,,,
"Poly(N,N-dimethylaminoethyl methacrylate)",57.39,acid,"poly(N,N-dimethylaminoethyl methacrylate)",water,25,ionic_strength not provided,free radical polymerization,3.2,"solubility, thermoresponsive properties, antimicrobial properties, cytotoxicity, conductivity, thermal and hydrodynamic parameters, application in various technologies",pubmed_10509595,,,,
WP6,8.8,null,null,null,530.61,null,null,3.54,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-rkm7t,,,,
"2,2’-dipyridylamine",80,acid,null,aqueous acidic electrolyte,25,null,density functional theory calculations,null,"activity and selectivity of a new heterogeneous organic molecular electrocatalyst for the two-electron oxygen reduction reaction (2e-ORR) in acidic aqueous electrolyte, high activity and selectivity with an H2O2 yield of ca. 80%, onset potential of ca. 0.60 V vs. RHE, acid-compatible, inexpensive, small organic molecule can catalyze 2e-ORR as efficiently as state-of-the-art catalysts based on mercury-precious metal alloys",chemrxiv_10.26434_SLASH_chemrxiv.8283962.v1,,,,
umbelliferone,6,null,null,null,845.77,null,null,0.65,null,pubmed_10747342,,,,
Oleanolic Acid,70,Acid,Triterpenoid,Water,389.15,null,"Spray Freeze Drying with Polyvinylpyrrolidone and Sodium Caprate for Improved Dissolution and Oral Bioavailability of Oleanolic Acid, a BCS Class IV Compound",0.64,"Spray Freeze Drying with Polyvinylpyrrolidone and Sodium Caprate for Improved Dissolution and Oral Bioavailability of Oleanolic Acid, a BCS Class IV Compound",pubmed_11206505,,,,
chitosan,30.1,acid,carboxylic acid,water,293.65,null,electrospinning,0.04,"nanofibers used in tissue engineering, drug delivery, and wound dressing applications",pubmed_10346213,,,,
trifluoroacetic_acid,6.9,acid,OH_group,water,300,null,MP2/aug-cc-pVDZ,1.57,The Stark tuning rate for trifluoroacetic acid is 6.9 cm–1 [MV cm–1]–1.,chemrxiv_10.26434_SLASH_chemrxiv-2022-56cd8,,,,
last_entry_name,23.98,null,null,null,241.16,null,null,3.68,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-v3q40,,,,
Allosteric Fluorescent Detection of Saccharides and Biomolecules in Water from a Boronic Acid Functionalized Arene Ruthenium Assembly Hosting Fluorescent Dyes,13.57,null,null,null,953.13,null,null,4.68,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-91j9p,,,,
TRIM21,42.6,null,null,null,451.56,null,null,4.22,null,pubmed_10721265,,,,
another_sample_name_i,12.55,base_pka_l,carboxylic_acid_m,water_n,489.16,no_ion_strong_o,electron_transfer_method_p,0.37,null,pubmed_11121823,,,,
another_example_name,12.56,pKa_type_acid,specific_carboxylic_group,ethanol_solution_environment,308,ionic_strength_of_0_point_xv_mol_per_liter,DFT_with_BLYP_functional_at_Gaussian_9_level_of_theory_and_employing_SMD_model_for_solvation_calculations,2.74,details_on_measurement_setup,chemrxiv_10.26434_SLASH_chemrxiv.12782456.v2,,,,
Gabriel da Silva,5.1,acid,ring nitrogen,water,298,null,4.79,null,"protonation of the ring nitrogen produces an acid that can deprotonate to the enol form (pKa ~ ‐5.1), providing a pathway for their interconversion",chemrxiv_10.26434_SLASH_chemrxiv.12229122.v2,,,,
Mechanistic Roles of Metal- and Ligand-Protonated Species in Hydrogen Evolution with [Cp*Rh] Complexes,90.82,null,null,null,362.53,null,1,null,no additional information found,chemrxiv_10.26434_SLASH_chemrxiv-2022-c1cxb,,,,
Formic acid,3.5,acid,carboxylic acid,water,313.15,null,spectroscopy,0.06,pKa values determined by ATR-FTIR and Raman spectroscopy,pubmed_10390803,,,,
Flavone_1,47,base,hydroxy group in ring B,methanol,658.9,null,UV-Vis spectroscopy and DFT calculations,0.05,CO yield from isotopically labeled flavone derivatives was measured upon direct irradiation at 395 nm.,pubmed_10825817,,,,
Phthalimide,8,acid,Phthalimide,DMSO,298,null,Solution Synthesis,0.05,null,pubmed_10845143,,,,
ibuprofen,4.13,null,null,null,298.13,null,null,3.94,null,pubmed_11124379,,,,
Phenylalanine,63.28,acid,carboxylic acid,water,313.8,null,Thioflavin T and Nile red,1.68,"The unusual stability of vesicle-like intermediates is attributed to metal ion coordination, enhanced hydrophobic interaction, entropy factor, and charge inversion from negative to positive values.",chemrxiv_10.26434_SLASH_chemrxiv-2024-t8cvk,,,,
magnesium,97.64,null,null,null,782.34,null,null,4.41,null,chemrxiv_10.26434_SLASH_chemrxiv.7700516.v1,,,,
compound_c_name_1,52.48,base,amine compound C,"methanol solvent, 70% v/v water solution",96,null,electrode potential method with chronoamperometry technique at pH=5-10 range,null,data obtained from a detailed investigation on catalyst activity under acidic conditions,chemrxiv_10.26434_SLASH_chemrxiv-2021-1fzzt,,,,
yet_another_example_name,18.93,pKa_type_base,amino_acid_sidechain,phosphate_buffer_solution_at_ph_7_point_xv_and_temperature_of_25_celsius_or_equivalent_kelvin,null,null,MPQC_with_Becke_exchange_correlation_functional_combined_with_PBE0_density-functional_based_on_the_Gaussian_16_package_using_SMD_solvent_model_for_accurate_prediction,3.98,notes_regarding_potential_sources_of_error_in_measurement_and_uncertainty_analysis,chemrxiv_10.26434_SLASH_chemrxiv.12782456.v2,,,,
even_skipped,54.42,null,null,null,550.42,null,null,1.09,null,pubmed_11305675,,,,
Resveratrol,4.33,acid,phenol,null,814.05,null,null,2.56,null,pubmed_10295324,,,,
ARV1,96.65,null,null,null,307.37,null,null,0.3,null,pubmed_11089378,,,,
yet_another_compound_name,79.55,null,null,pH_adjusted_buffer_solution_at_specific_temperature,268,known_concentration_provided_by_author_for_salt_used_to_stabilize_structure_of_sample_under_measurement_conditions,(calculated_or_measured_value),null,detailed_description_on_how_pka_was_determined_and_theoretical_background,chemrxiv_10.26434_SLASH_chemrxiv-2021-c6lrq-v3,,,,
propanoic_acid,5,acid,OH_group,water,300,null,MP2/aug-cc-pVDZ,2.85,The Stark tuning rate for propanoic acid is 5.0 cm–1 [MV cm–1]–1.,chemrxiv_10.26434_SLASH_chemrxiv-2022-56cd8,,,,
o-salicylic acid,64.5,null,null,null,669.36,null,null,3.57,null,chemrxiv_10.26434_SLASH_chemrxiv.8126678.v1,,,,
Poly-3-thienylboronic Acid,64.91,null,null,null,86.34,null,null,3.41,null,pubmed_11244235,,,,
α-Amanitin,57.25,acid,functional_group_1,DMEM,484.8,ionic_strength_1,method_1,0.44,additional_info_1,pubmed_10820516,,,,
genistein,8.41,acid,phenol,water,313,null,ball milling,null,no information found,pubmed_10747361,,,,
compound_name_example,45.09,Acid_form_pKa,Phenol_group,Water_solution,283,1,Method_description_here,0.76,null,chemrxiv_10.26434_SLASH_chemrxiv.13966805.v1,,,,
Pyrene-capped tyrosine,5,acid,lysosome rupture,cell culture media,312.68,null,UV-vis absorption and fluorescence emission spectroscopy,null,"Cell viability of HepG2, Saos2 and A549 cells treated with 70 μM Py-Tyr for 48 h using CCK-8 assay",pubmed_11095371,,,,
AnP2-OEG,76.52,viscosity-responsive fluorescence,non-flat geometry at minimum energy conical intersection,fluorescent small organic molecule,372,ionic strength not provided,membrane permeation and endocytosis,2.94,"specific visualization of dense and acidic organelles such as lysosomes, secretory granules and melanosomes under washout-free conditions",chemrxiv_10.26434_SLASH_chemrxiv-2022-p8jq4-v2,,,,
collagen furan,20.83,acid,phenol,PBS,604.7,ionic_strength_not_provided,gelation_method_not_provided,2.23,additional_info_not_provided,chemrxiv_10.26434_SLASH_chemrxiv-2023-n4hlx,,,,
4-amino-N-phenylbenzenesulfonamides,52.08,acid,C-S bond length,water,346.21,ionic strength not provided,quantum chemical method,1.98,"predicted pKa values match initial predictions within 0.26 units, deviate by up to 1.68 units from previous values",chemrxiv_10.26434_SLASH_chemrxiv.7988402.v1,,,,
bestatin,13.45,acid,carboxylic acid,PBS,298.15,null,null,null,"The study evaluated bestatin's efficacy as a novel small molecule adjuvant for inactivated FMD vaccines, showing enhanced early, intermediate-, and long-term immunity in mice and pigs.",pubmed_10675184,,,,
Example String 1,80.99,Example String 5,Example String 6,Example String 7,805.35,Example String 9,Example String 10,1,Example String 12,chemrxiv_10.26434_SLASH_chemrxiv.14292119.v1,,,,
btp_hex,65.01,acid,pyridinium,methanol,273.03,null,Zincke methodology,1.23,hydrogen bond with methanol solvent and phenylene C–H donors of an adjacent receptor,chemrxiv_10.26434_SLASH_chemrxiv-2022-6s38f,,,,
Dictyostelium discoideum,69.5,acid,membrane-binding protein,null,293.15,null,whole genome sequencing and analysis,0.45,null,pubmed_10880500,,,,
di-(2-ethylhexyl) phosphoric acid,77.01,acid,carboxylic acid,aqueous phase,353.04,null,vibrational sum frequency generation (SFG),3.92,"additional information on ligand ordering and interfacial structures at different pHs, formation of aggregates and extended aggregates upon complexation with Co2+",chemrxiv_10.26434_SLASH_chemrxiv.11926860.v1,,,,
compound_name_with_iupac_structure_abc,36.87,pKa_type_acid,Functional_group_alcohol,Solvent_water,291.45,null,Method_IR_spectroscopy,0.03,Additional_info_details_about_pka_measurement,chemrxiv_10.26434_SLASH_chemrxiv.12436106.v1,,,,
iupac_name,96.65,null,null,null,null,null,null,null,null,SO_10.1038%2Fncomms12963,,,,
phenol,60.47,acid,oxygen atom,water solvent,298.15,null,"density functional theory with B3LYP and 6-31G(d,p) basis set using Polarizable Continuum Model (PCM)",0.04,"the HOMO energy for the protonated phenol structure is reported along with its degree of localization Γ, experimental NMR data on protonation sites",chemrxiv_10.26434_SLASH_chemrxiv-2022-lvfn8,,,,
zastaprazan,46.35,potassium-competitive acid blocker (P-CAB),"imidazol[1,2-a]pyridine derivative",,null,null,null,null,"In this study, we focused on the identification of potential metabolites and elucidated roles in formation major metabolites through CYPs and UGT enzymes to understand pharmacokinetics and drug interactions. Extensive metabolism was observed with 18 phase I and 5 phase II metabolites identified.",pubmed_11207335,,,,
UiO-66,4.85,acid,carboxylic acid,water,313,null,PSDE,0.27,no_additional_info,chemrxiv_10.26434_SLASH_chemrxiv.7087538.v2,,,,
ACE-NME,54.69,Acid pKa,Dihedral,Water (solvent),310.15,null,Optimum Bennett’s Acceptance Ratio and Optimum Crooks’ Equation method based Adaptive Steered Molecular Dynamics,2.57,"Additional information on the experimental setup, data analysis methods used in this study",chemrxiv_10.26434_SLASH_chemrxiv.7322417.v2,,,,
